"SubscriptionId","ResourceGroupName","VMSSName","InstanceID"
"116901c7-482b-402a-8ffe-7b2f9457687e","MC_DND-STANDING-AKS_STANDARDAKS_CANADACENTRAL","aks-agentpool-41740609-vmss","5"
"116901c7-482b-402a-8ffe-7b2f9457687e","MC_DND-STANDING-AKS_STANDARDAKS_CANADACENTRAL","aks-agentpool-41740609-vmss","6"
